Log file created at: 2023-08-15 21:02:55 1729 139651640330368
2023-08-16 03:00:52 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:53 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:00:58 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:22 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:30 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:31 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:33 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:33 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:36 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:38 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:40 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:01:43 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:51:08 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:53:33 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:53:49 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:53:51 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:53:52 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:53:55 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 03:54:41 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:00:44 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:14:53 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:15:00 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:15:25 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:15:26 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:16:44 1729 139651640330368 unix/fcitx5/fcitx_key_event_handler.cc(112) LOG(ERROR) Translate failed
2023-08-16 04:27:55 1729 139651640330368 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-08-16 04:27:55 1729 139651640330368 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-08-16 04:27:55 1729 139651640330368 client/client.cc(645) LOG(ERROR) Connection failure to session
2023-08-16 04:27:55 1729 139651640330368 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-08-16 04:27:55 1729 139651640330368 ipc/unix_ipc.cc(290) LOG(WARNING) connect failed: Connection refused
2023-08-16 04:27:55 1729 139651640330368 client/client.cc(645) LOG(ERROR) Connection failure to session
